Muscle,rms,mav,wl,ssc,entropy,mean_freq,median_freq,acc_X_mean,acc_X_std,acc_X_max,acc_X_min,acc_X_rms,acc_Y_mean,acc_Y_std,acc_Y_max,acc_Y_min,acc_Y_rms,acc_Z_mean,acc_Z_std,acc_Z_max,acc_Z_min,acc_Z_rms,gyro_X_mean,gyro_X_std,gyro_X_max,gyro_X_min,gyro_X_rms,gyro_Y_mean,gyro_Y_std,gyro_Y_max,gyro_Y_min,gyro_Y_rms,gyro_Z_mean,gyro_Z_std,gyro_Z_max,gyro_Z_min,gyro_Z_rms,emg_variance,window_start,gender,run_num,exo
LBicep,0.2628032112107507,0.18541566413855143,44.532481393978685,103,1.753668537230635,211.83685300330845,207.73499999999999,0.5480533955875966,0.22233316230526548,1.2581240134255487,0.059018937949872424,0.5914343238904504,0.3362500549719622,0.5727470333320257,0.970592231012613,-0.8630021155580554,0.664156053694675,0.4501234063299009,0.13232924689919337,0.740918694253411,0.16688785171269574,0.46917172816671376,-54.08419247488911,59.20413533479226,43.159297359520195,-144.611380903996,80.18871190137206,36.800836399163515,33.29695323935424,125.33111566166649,-81.73137472531516,49.628506472608464,47.35453274240786,22.31074903686601,88.6449712838645,-0.2569774726999706,52.347123071261485,0.0001,6.75,male,2,True
LBicep,0.22397881459493993,0.1496140011966508,40.46190249107391,107,1.56740737579137,249.33077350338183,264.39,0.5769774852103372,0.24090339770063754,1.2581240134255487,0.059018937949872424,0.6252499224017196,-0.2595395128692492,0.4094312248424672,0.6835360406045918,-0.8630021155580554,0.48476250537393056,0.5403142344622417,0.1495957450115308,0.8511090780913817,0.1471596084143222,0.5606410249777242,-11.926581002565285,96.35375812036287,120.09455380716945,-144.611380903996,97.08908300281831,20.46366851690993,39.62569313507738,125.33111566166649,-81.73137472531516,44.59772735919723,20.205346886261047,40.16069953086233,88.6449712838645,-52.90644267905713,44.95706651464645,0.0001,7.425,male,2,True
LBicep,0.22985532778805942,0.14693296698577746,35.651066191226846,112,1.2505416299114385,270.4184905974162,283.275,0.570351478125758,0.27804612670626255,1.63477167075216,-0.2835394090574342,0.6345159235012089,0.09142387455085618,0.5638320646924198,1.146362507277627,-0.7960717026371907,0.5711960451659376,0.5213779618645643,0.1785113347122955,0.8659112059188866,0.1471596084143222,0.5510909868060013,61.866583746236756,38.35268905996206,120.09455380716945,-12.773133764509112,72.7901294308525,-1.8174071379965562,42.02103808052789,124.98840975862535,-147.70506583572123,42.06032108853206,-35.535170946026305,30.26713666768493,14.556560792997917,-104.88101424873281,46.67813124176706,0.0001,8.1,male,2,True
LBicep,0.2507199663876402,0.16047126129482808,38.19235453665472,112,1.3752703054255198,189.87396923771018,151.07999999999998,0.4502891160546082,0.29624089027074146,1.63477167075216,-0.2835394090574342,0.5389981012078261,0.7121089836646977,0.26390651819224276,1.146362507277627,-0.006601490162403302,0.7594378545742378,0.4325349817966696,0.14495101027614143,0.8659112059188866,0.2102997396351203,0.45617683616983373,15.596158794250295,38.45957337260779,105.89896818244965,-40.152841943618846,41.501553623189494,-0.7932430064051096,40.26770827396319,124.98840975862535,-147.70506583572123,40.2755206559048,-42.21851478728854,25.394669803477008,2.109951154271039,-104.88101424873281,49.267557736020656,0.0001,8.775,male,2,True
LBicep,0.2541794598417712,0.18020261461946765,45.699265201879584,104,1.7775738577880522,243.07512991213864,264.39,0.352002063727532,0.1558518675456777,0.7807909431275094,0.018757184274797674,0.3849613714204543,0.8337303083925772,0.10338604649500276,1.0793400646584062,0.5956486984295736,0.8401160049316099,0.37460039666140693,0.05699038016075688,0.5250554854501566,0.24895064110046228,0.3789107554685549,-2.641778704265364,18.844077423503894,44.434882599428306,-40.152841943618846,19.028353808601498,23.98265294965245,25.85012225455131,82.47836433511237,-45.462874422306015,35.26182727935014,5.787344901846259,36.14674707095998,65.11057066594601,-48.899774738146526,36.60711248958159,0.0001,9.45,male,2,True
LBicep,0.22248335339205053,0.15678778785085798,40.680054130904495,105,1.6742849275525091,254.24388469882334,239.21,0.49609954685422863,0.1513814033078498,0.8040432357134479,0.08136038629123896,0.5186820699199316,0.5784945963868617,0.3183567535568465,1.0011024165243292,-0.17275500900374235,0.6603082769313532,0.49137893371620905,0.1287237784028858,0.6933002898016266,0.24895064110046228,0.5079597106330321,-29.948069011533924,41.76715122593969,44.434882599428306,-89.0708262849137,51.39437478022389,28.889023035033187,19.556456297086424,81.12940026768102,-25.184560872081107,34.88596615859348,39.80639254318486,13.019478403312025,65.11057066594601,-1.2455074545156797,41.88144822229088,0.0001,10.125,male,2,True
LBicep,0.2024528344824147,0.12986732305123538,35.58743200863557,114,1.307944211681594,247.75439198125054,251.8,0.5836089533280223,0.13607042322931223,0.8783748788930846,0.17730769933170223,0.5992616878146256,-0.08418470603953711,0.4753039792480715,0.8046699979539873,-0.7676783974968323,0.4827017064606406,0.566774446337151,0.10071511435790734,0.7132748598326019,0.19064363960181707,0.5756533742460913,-55.03444685742858,29.54217120433875,15.095453714775394,-89.0708262849137,62.462230350585386,25.03088582838684,20.440944044908584,86.00479923783726,-25.184560872081107,32.31682903381489,30.001451345091354,17.100383154564273,53.86993683304312,-17.289852989204025,34.53274079543629,0.0001,10.8,male,2,True
LBicep,0.20460926114109718,0.13392869813549635,35.007449707029565,110,1.3357209849699336,268.7800820870572,295.865,0.5565967774201671,0.1392518712124387,0.8783748788930846,0.17730769933170223,0.5737517374881583,-0.453067867379998,0.19094282758241074,0.09888458224851387,-0.7676783974968323,0.491660101958076,0.5780713796702007,0.120364723710989,0.8175618072124552,0.19064363960181707,0.5904694629765641,5.150229617946239,53.72731564177139,69.48165543869946,-87.85392766763071,53.97359827904846,21.842253072152808,19.77819247622459,86.00479923783726,-19.588672475113288,29.46626744083064,0.585832834204516,22.259962727175257,49.29022980251932,-29.13398366797068,22.26767030303942,0.0001,11.475,male,2,True
LBicep,0.15070097509333458,0.1058577931950691,25.739890542127085,106,1.5336674644342516,201.08039373465672,169.965,0.5680468794970583,0.12114128151745247,0.8693596604691051,0.19293876577293925,0.5808205122015202,-0.07003777346006952,0.3947531788948593,0.6015206387188131,-0.7256861922442006,0.4009181487022517,0.6561384858319542,0.08610565962507155,0.8175618072124552,0.40717374253555005,0.6617642308324909,48.93918165932236,13.091424060851265,69.48165543869946,10.993497404120767,50.65993372898536,14.644644887454595,16.424775204922906,63.171356058320825,-34.220399009891764,22.005428066999748,-24.066255047524965,8.70831016813541,-3.67588693861498,-48.53362351544696,25.593344798931057,0.0001,12.15,male,2,True
LBicep,0.17184069859903603,0.11101038303229849,30.70314126219796,113,1.4348856265278735,270.99099922067296,295.865,0.5325511842601572,0.17220157929940744,0.9505052548295043,0.19293876577293925,0.5597000516080968,0.4780035378003604,0.2745898655193527,0.9150888654921243,-0.28672119123167983,0.5512594456293668,0.5783447569308262,0.12119735666254686,0.7935038646875126,0.36822818874459573,0.5909073168707297,30.395793200814843,18.11144284332232,63.49343180851578,1.4168489573872651,35.38260315711145,11.111893772300427,25.956313429346487,63.171356058320825,-75.1356367979959,28.234808128431858,-31.650504195390614,6.718036902629831,-18.998228960291367,-48.53362351544696,32.35562448242245,0.0001,12.825,male,2,True
